id,zanr_vana,zanr1,zanr2,zanr3,lliik,liik_vana
136,r/uk kal,kombekirjeldus,regilaul,,Kalendrilaulud,
137,rl,,,,,
138,rl kirj,,,,Omalooming,
139,rl kirj?,,,,Omalooming,
140,rl/?,varia,,,,
141,rl/andm,andmed,regilaul,,,
142,rl/etn,etnograafia,regilaul,,,
143,rl/j,jutt,regilaul,,,
144,rl/k,kombekirjeldus,regilaul,,,
145,rl/kk,fraseologism,,,,
146,rl/lh,loodushäälend,,,,
147,rl/lh/mj,muinasjutt,loodushäälend,,,
148,rl/lh/uk,kombekirjeldus,loodushäälend,,,
149,rl/ll,,,,Lastelaulud,
150,rl/ll/mng,,,,Lastelaulud,
151,rl/ll/mngl,,,,Laulumängud,
152,rl/ll/ns,,,,Lastelaulud,
153,rl/ll/par,,,,Lastelaulud,
154,rl/ll/tl,,,,Lastelaulud,
155,rl/ll/uk,kombekirjeldus,regilaul,,Lastelaulud,
156,rl/mj,varia,,,,
157,rl/mng,,,,Laulumängud,
158,Rl/mngl,,,,Laulumängud,
159,rl/mngl/etn,etnograafia,regilaul,,Laulumängud,
160,rl/mngl/ll,,,,Laulumängud,
161,rl/mngl/tl,,,,Laulumängud,
162,rl/mst,,,,Mõistatuslaulud,
163,rl/mõist,mõistatus,,,,
164,rl/nalj,naljand,regilaul,,Pulmalaulud,
165,rl/nlj,naljand,regilaul,,Looduslaulud,
166,Rl/ns,,,,Loitsud,
167,rl/ns,,,,Loitsud,
168,rl/ns/muist,muistend,regilaul,,Loitsud,
169,rl/ns/uk,kombekirjeldus,regilaul,,Loitsud,
170,rl/ns/uk med,kombekirjeldus,regilaul,,Loitsud,
171,rl/ns?,,,,Loitsud,
172,rl/ol/muist,muistend,regilaul,,,
173,rl/paj/vs/ol,ajalugu,regilaul,,,
174,rl/pseudo(?),,,,Omalooming,
175,rl/rmngl,varia,,,,
176,rl/tl,labajalalaul,,,,
177,rl/tl/ll,,,,Lastelaulud,
178,rl/tl/ul,labajalalaul,,,,
179,rl/tl?,labajalalaul,,,,
180,rl/uk,kombekirjeldus,regilaul,,,
181,rl/uk  kal,kombekirjeldus,regilaul,,,
182,rl/uk kal,kombekirjeldus,regilaul,,,
183,rl/uk pulm,kombekirjeldus,regilaul,,Pulmalaulud,
184,rl/uk pulm/ul,kombekirjeldus,uuem rahvalaul,regilaul,Pulmalaulud,
185,Rl/ul,siirdevormiline laul,,,,
186,rl/ul kal,kombekirjeldus,regilaul,,Kalendrilaulud,
187,rl/ul/etn,etnograafia,siirdevormiline laul,,,
188,rl/ul/j,jutt,siirdevormiline laul,,,
189,rl/ul/mng,varia,,,,
190,rl/ul/mngl,varia,,,,
191,rl/ul/mngl/mng,ringmängulaul,,,,
192,rl/ul/mst,mõistatus,uuem rahvalaul,,,
193,rl/ul/rmngl,varia,,,,
194,rl/ul/tl,labajalalaul,,,,
195,rl/ul/tl/ll,,,,Lastelaulud,
196,rl/ul/tl/uk pulm,kombekirjeldus,labajalalaul,,Pulmalaulud,
197,rl/ul/tl?,labajalalaul,,,,
198,rl/ul/uk,kombekirjeldus,siirdevormiline laul,,,
